,ca,community_area_name,per_capita_income_,percent_aged_under_18_or_over_64,percent_aged_25_without_high_school_diploma,percent_18_to_64,percent_aged_25_with_hs_or_more
0,1.0,Rogers Park,23939,27.5,18.2,72.5,81.8
1,2.0,West Ridge,23040,38.5,20.8,61.5,79.2
2,3.0,Uptown,35787,22.2,11.8,77.8,88.2
3,4.0,Lincoln Square,37524,25.5,13.4,74.5,86.6
4,5.0,North Center,57123,26.2,4.5,73.8,95.5
5,6.0,Lake View,60058,17.0,2.6,83.0,97.4
6,7.0,Lincoln Park,71551,21.5,3.6,78.5,96.4
7,8.0,Near North Side,88669,22.6,2.5,77.4,97.5
8,9.0,Edison Park,40959,35.3,7.4,64.7,92.6
9,10.0,Norwood Park,32875,39.5,11.5,60.5,88.5
10,11.0,Jefferson Park,27751,35.5,13.4,64.5,86.6
11,12.0,Forest Glen,44164,40.5,4.9,59.5,95.1
12,13.0,North Park,26576,39.0,14.4,61.0,85.6
13,14.0,Albany Park,21323,32.0,32.9,68.0,67.1
14,15.0,Portage Park,24336,34.0,19.3,66.0,80.7
15,16.0,Irving Park,27249,31.6,22.4,68.4,77.6
16,17.0,Dunning,26282,33.6,16.2,66.4,83.8
17,18.0,Montclaire,22014,38.6,23.5,61.4,76.5
18,19.0,Belmont Cragin,15461,37.3,37.3,62.7,62.7
19,20.0,Hermosa,15089,36.4,41.6,63.6,58.4
20,21.0,Avondale,20039,31.0,24.7,69.0,75.3
21,22.0,Logan Square,31908,26.2,14.8,73.8,85.2
22,23.0,Humboldt park,13781,38.0,35.4,62.0,64.6
23,24.0,West Town,43198,21.7,12.9,78.3,87.1
24,25.0,Austin,15957,37.9,24.4,62.1,75.6
25,26.0,West Garfield Park,10934,43.6,24.5,56.4,75.5
26,27.0,East Garfield Park,12961,43.2,21.3,56.8,78.7
27,28.0,Near West Side,44689,22.2,9.6,77.8,90.4
28,29.0,North Lawndale,12034,42.7,27.6,57.3,72.4
29,30.0,South Lawndale,10402,33.8,54.8,66.2,45.2
30,31.0,Lower West Side,16444,32.6,40.7,67.4,59.3
31,32.0,Loop,65526,13.5,3.1,86.5,96.9
32,33.0,Near South Side,59077,21.8,7.4,78.2,92.6
33,34.0,Armour Square,16148,38.3,34.5,61.7,65.5
34,35.0,Douglas,23791,30.7,14.3,69.3,85.7
35,36.0,Oakland,19252,40.4,18.4,59.6,81.6
36,37.0,Fuller Park,10432,44.9,26.6,55.1,73.4
37,38.0,Grand Boulevard,23472,39.5,15.9,60.5,84.1
38,39.0,Kenwood,35911,35.4,11.3,64.6,88.7
39,40.0,Washington Park,13785,42.8,25.4,57.2,74.6
40,41.0,Hyde Park,39056,26.2,4.3,73.8,95.7
41,42.0,Woodlawn,18672,36.1,16.5,63.9,83.5
42,43.0,South Shore,19398,35.7,14.0,64.3,86.0
43,44.0,Chatham,18881,40.3,14.5,59.7,85.5
44,45.0,Avalon Park,24454,39.3,10.6,60.7,89.4
45,46.0,South Chicago,16579,41.1,26.6,58.9,73.4
46,47.0,Burnside,12515,42.7,19.3,57.3,80.7
47,48.0,Calumet Heights,28887,44.0,11.0,56.0,89.0
48,49.0,Roseland,17949,41.2,16.9,58.8,83.1
49,50.0,Pullman,20588,38.6,13.1,61.4,86.9
50,51.0,South Deering,14685,39.5,21.0,60.5,79.0
51,52.0,East Side,17104,42.8,31.9,57.2,68.1
52,53.0,West Pullman,16563,42.1,20.5,57.9,79.5
53,54.0,Riverdale,8201,51.5,27.5,48.5,72.5
54,55.0,Hegewisch,22677,42.9,19.2,57.1,80.8
55,56.0,Garfield Ridge,26353,38.1,19.3,61.9,80.7
56,57.0,Archer Heights,16134,39.2,35.9,60.8,64.1
57,58.0,Brighton Park,13089,39.3,45.1,60.7,54.9
58,59.0,McKinley Park,16954,35.6,32.9,64.4,67.1
59,60.0,Bridgeport,22694,31.3,22.2,68.7,77.8
60,61.0,New City,12765,38.9,41.5,61.1,58.5
61,62.0,West Elsdon,15754,37.7,37.0,62.3,63.0
62,63.0,Gage Park,12171,38.8,51.5,61.2,48.5
63,64.0,Clearing,25113,37.6,18.8,62.4,81.2
64,65.0,West Lawn,16907,39.6,33.6,60.4,66.4
65,66.0,Chicago Lawn,13231,40.6,31.2,59.4,68.8
66,67.0,West Englewood,11317,40.7,26.3,59.3,73.7
67,68.0,Englewood,11888,42.5,28.5,57.5,71.5
68,69.0,Greater Grand Crossing,17285,41.0,16.5,59.0,83.5
69,70.0,Ashburn,23482,36.9,17.7,63.1,82.3
70,71.0,Auburn Gresham,15528,41.9,18.5,58.1,81.5
71,72.0,Beverly,39523,40.5,3.7,59.5,96.3
72,73.0,Washington Height,19713,42.6,13.7,57.4,86.3
73,74.0,Mount Greenwood,34381,36.8,4.3,63.2,95.7
74,75.0,Morgan Park,27149,40.3,10.8,59.7,89.2
75,76.0,O'Hare,25828,30.3,10.9,69.7,89.1
76,77.0,Edgewater,33385,23.8,9.7,76.2,90.3
77,,CHICAGO,28202,33.5,19.5,66.5,80.5
